system,method_key,method,series,measurement,value,source_tex
x265,promise,PromiseTune,upper,40,93.64,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,60,97.88,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,80,159.79,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,100,169.88,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,120,180.45,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,140,176.07,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,160,182.33,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,180,191.60,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,upper,200,192.64,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,20,39.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,40,62.39,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,60,72.79,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,80,82.64,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,100,93.51,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,120,99.46,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,140,122.84,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,160,122.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,180,122.70,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,promise,PromiseTune,lower,200,125.38,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,20,90.20,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,40,126.37,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,60,135.47,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,80,157.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,100,157.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,120,157.53,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,140,158.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,160,158.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,180,158.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,upper,200,158.83,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,20,73.94,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,40,79.27,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,60,111.91,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,80,103.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,100,103.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,120,103.92,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,140,109.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,160,109.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,180,109.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,bestconfig,BestConfig,lower,200,109.49,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
x265,spl,SPL,upper,20,117.72,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/x265_selected_runs_plot.tex
