system,method_key,method,series,measurement,value,source_tex
tomcat,flash,FLASH,lower,180,1945.32,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,flash,FLASH,lower,200,1945.32,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,20,2609.24,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,40,2728.91,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,60,2808.72,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,80,2830.76,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,100,2853.51,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,120,2888.33,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,140,2888.33,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,160,2893.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,180,2893.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,promise,PromiseTune,upper,200,2891.08,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
